Matrícula,Titulado em
24317,Gabinete do Juiz Miguel Lima dos Reis Junior da TRPJE da Fazenda Publica
37270,Justica Militar
16314,TRIBUNAL DE JUSTICA DO ESTADO
190217,TRIBUNAL DE JUSTICA DO ESTADO
190438,TRIBUNAL DE JUSTICA DO ESTADO
190462,TRIBUNAL DE JUSTICA DO ESTADO
197122,TRIBUNAL DE JUSTICA DO ESTADO
197149,TRIBUNAL DE JUSTICA DO ESTADO
197211,TRIBUNAL DE JUSTICA DO ESTADO
197220,TRIBUNAL DE JUSTICA DO ESTADO
24260,TRIBUNAL DE JUSTICA DO ESTADO
36528,TRIBUNAL DE JUSTICA DO ESTADO
38032,TRIBUNAL DE JUSTICA DO ESTADO
38070,TRIBUNAL DE JUSTICA DO ESTADO
39152,TRIBUNAL DE JUSTICA DO ESTADO
44890,TRIBUNAL DE JUSTICA DO ESTADO
48666,TRIBUNAL DE JUSTICA DO ESTADO
82660,TRIBUNAL DE JUSTICA DO ESTADO
113255,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
113549,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
113557,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
116271,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
116505,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
116599,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
136565,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
148989,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
149063,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
149195,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
149322,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
151131,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
153842,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
190047,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
203980,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
204013,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
204021,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
204030,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
204056,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
204064,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
204072,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
204081,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
204102,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
204153,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
204161,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
204170,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
37240,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
37820,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
39250,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
41947,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
42978,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
44911,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
48615,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
48704,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
48763,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
55778,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
55824,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
5665,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
60127,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
60178,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
60240,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
70726,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
70750,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
70785,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
70793,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
82651,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
