Matrícula,Atuando em,Movimentação
37900,4ª Vara Civel e Empresarial da Comarca de Santarem,Titular
39250,4ª Vara Criminal da Comarca de Ananindeua,Respondendo
37970,4ª Vara Criminal da Comarca de Belem,Titular
41947,4ª Vara da Fazenda da Comarca de Belem,Respondendo
30244,4ª Vara da Infancia e Juventude da Comarca de Belem,Titular
37920,4ª Vara de Familia da Comarca de Belem,Titular
48631,4ª Vara de Juizado de Violencia Domestica e Familiar Contra a Mulher da Comarca de Belem,Titular
38000,4ª Vara do Juizado Especial Civel de Belem,Titular
5568,4ª Vara do Juizado Especial Criminal de Belem,Titular
25208,4º CEJUSC DA CAPITAL - UNIFAMAZ,Respondendo
44950,5ª Vara Civel e Empresarial da Comarca de Belem,Titular
29254,5ª Vara Criminal da Comarca de Belem,Titular
82775,"5ª Vara da Fazenda Pub dos Direitos Difusos, Coletivos e Individuais Homogeneos da Comarca de Belem",Respondendo
29289,5ª Vara de Familia da Comarca de Belem,Substituindo
82881,5ª Vara de Familia da Comarca de Belem,
37090,5ª Vara do Juizado Especial Civel de Belem,Titular
60178,5º CEJUSC da Capital - CAD,Respondendo
8273,6ª Vara Civel e Empresarial da Comarca de Belem,Substituindo
60127,6ª Vara Criminal da Comarca de Belem,Substituindo
29289,6ª Vara de Familia da Comarca de Belem,Titular
60178,6ª Vara do Juizado Especial Civel de Belem,Respondendo
8273,7ª Vara Civel e Empresarial da Comarca de Belem,Titular
24562,7ª Vara Criminal da Comarca de Belem,Substituindo
36528,7ª Vara de Familia da Comarca de Belem,Substituindo
60240,7ª Vara de Familia da Comarca de Belem,
30198,7ª Vara do Juizado Especial Civel de Belem,Titular
149314,7º CEJUSC da Capital - UFPA,Respondendo
24287,8ª Vara Civel e Empresarial da Comarca de Belem,Titular
60127,8ª Vara Criminal da Comarca de Belem,Respondendo
37280,8ª Vara do Juizado Especial Civel de Belem,Titular
27022,9ª Vara Civel e Empresarial da Comarca de Belem,Titular
24562,9ª Vara Criminal da Comarca de Belem,Titular
37140,9ª Vara do Juizado Especial Civel de Belem,Titular
197378,CEAV-Centro Especializado de Atencao as Vitimas de Crimes e Atos Infracionais de Belem,
29246,CEAV-Centro Especializado de Atencao as Vitimas de Crimes e Atos Infracionais de Belem,
22969,Central de Conciliacao de Precatorios,
132,Centro de Inteligencia da Justica Estadual do Para,
136573,Centro de Inteligencia da Justica Estadual do Para,
140058,Centro de Inteligencia da Justica Estadual do Para,
149314,Centro de Inteligencia da Justica Estadual do Para,
1830,Centro de Inteligencia da Justica Estadual do Para,
197378,Centro de Inteligencia da Justica Estadual do Para,
24333,Centro de Inteligencia da Justica Estadual do Para,
37150,Centro de Inteligencia da Justica Estadual do Para,
39190,Centro de Inteligencia da Justica Estadual do Para,
5266,Centro de Inteligencia da Justica Estadual do Para,
6700,Centro de Inteligencia da Justica Estadual do Para,
744,Centro de Inteligencia da Justica Estadual do Para,
7919,Centro de Inteligencia da Justica Estadual do Para,
7986,Centro de Inteligencia da Justica Estadual do Para,
9407,Centro de Inteligencia da Justica Estadual do Para,
190471,Cessao,
4596,Comiss p Impl do Cad de Profissionais e Orgaos Tec ou Cien e do Cad Elet de Leiloeiros e Corretores,
149063,Comissao de Coordenacao do Mes Nacional do Juri,
15300,Comissao de Coordenacao do Mes Nacional do Juri,
6700,Comissao de Coordenacao do Mes Nacional do Juri,
7919,Comissao de Coordenacao do Mes Nacional do Juri,
24503,Comissao de Gestao do Teletrabalho,
6106,Comissao de Gestao do Teletrabalho,
1341,Comissao de Heteroidentificação do TJPA,
197378,Comissao de Heteroidentificação do TJPA,
30139,Comissao de Heteroidentificação do TJPA,
214353,Comissao de Informatica,
7986,Comissao de Informatica,
140058,"Comissao de Organizacao Judiciaria, Regimento, Assuntos Administrativos e Legislativos",
15300,"Comissao de Organizacao Judiciaria, Regimento, Assuntos Administrativos e Legislativos",
1830,"Comissao de Organizacao Judiciaria, Regimento, Assuntos Administrativos e Legislativos",
2410,"Comissao de Organizacao Judiciaria, Regimento, Assuntos Administrativos e Legislativos",
39360,"Comissao de Organizacao Judiciaria, Regimento, Assuntos Administrativos e Legislativos",
153842,Comissao de Prevencao e Enfrentamento do Assedio e da Discriminacao de 1º e 2º graus,
24503,Comissao de Prevencao e Enfrentamento do Assedio e da Discriminacao de 1º e 2º graus,
37180,Comissao de Prevencao e Enfrentamento do Assedio e da Discriminacao de 1º e 2º graus,
639,Comissao de Prevencao e Enfrentamento do Assedio e da Discriminacao de 1º e 2º graus,
30155,Comissao de Prevencao e Medidas de Seguranca de Enfrentamento a Violencia Domestica,
38930,Comissao de Prevencao e Medidas de Seguranca de Enfrentamento a Violencia Domestica,
7536,Comissao de Prevencao e Medidas de Seguranca de Enfrentamento a Violencia Domestica,
7919,Comissao de Prevencao e Medidas de Seguranca de Enfrentamento a Violencia Domestica,
148946,Comissao de Solucoes Fundiarias do Poder Judiciario do Estado do Para,
151181,Comissao de Solucoes Fundiarias do Poder Judiciario do Estado do Para,
161152,Comissao de Solucoes Fundiarias do Poder Judiciario do Estado do Para,
190268,Comissao de Solucoes Fundiarias do Poder Judiciario do Estado do Para,
204030,Comissao de Solucoes Fundiarias do Poder Judiciario do Estado do Para,
204072,Comissao de Solucoes Fundiarias do Poder Judiciario do Estado do Para,
204145,Comissao de Solucoes Fundiarias do Poder Judiciario do Estado do Para,
70734,Comissao de Solucoes Fundiarias do Poder Judiciario do Estado do Para,
647,Comissao de Sumula Jurisprudencia Biblioteca e Revista,
949,Comissao de Sumula Jurisprudencia Biblioteca e Revista,
37940,Comissao Disciplinar de Servicos Extrajudiciais do Distrito de Icoaraci,
1341,Comissao Especial do Sesquicentenario do TJPA,
24503,Comissao Especial do Sesquicentenario do TJPA,
37150,Comissao Especial do Sesquicentenario do TJPA,
4596,Comissao Especial do Sesquicentenario do TJPA,
5266,Comissao Especial do Sesquicentenario do TJPA,
9407,Comissao Especial do Sesquicentenario do TJPA,
132,Comissao Gestora de Precedentes e de Acoes Coletivas - COGEPAC,
140058,Comissao Gestora de Precedentes e de Acoes Coletivas - COGEPAC,
